name,Employees,difficulty,requirements
프로젝트 목표와 범위 설정 초기,"ProjectManager, BusinessOperator",4,
프로젝트 목표와 범위 설정 후기,ProjectManager,4,
일정과 예산 계획 수립 초기,"ProjectManager, ProductManager",3,프로젝트 목표와 범위 설정
일정과 예산 계획 수립 후기,"ProjectManager, ProductManager",4,프로젝트 목표와 범위 설정
팀 구성 및 역할 할당 초기,ProductManager,3,프로젝트 목표와 범위 설정
팀 구성 및 역할 할당 후기,ProductManager,4,프로젝트 목표와 범위 설정
프로젝트 킥오프 미팅 주최 초기,"ProjectManager, BusinessOperator",4,"프로젝트 목표와 범위 설정, 팀 구성 및 역할 할당"
프로젝트 킥오프 미팅 주최 후기,"ProjectManager, BusinessOperator",5,"프로젝트 목표와 범위 설정, 팀 구성 및 역할 할당"
서비스 수익 분석 초기,ProductManager,4,"프로젝트 목표와 범위 설정, 일정과 예산 계획 수립, 팀 구성 및 역할 할당"
서비스 수익 분석 후기,ProductManager,5,"프로젝트 목표와 범위 설정, 일정과 예산 계획 수립, 팀 구성 및 역할 할당"
시장 조사 및 경쟁 분석 초기,ProductManager,4,"프로젝트 목표와 범위 설정, 일정과 예산 계획 수립, 팀 구성 및 역할 할당"
시장 조사 및 경쟁 분석 후기,BusinessOperator,5,"프로젝트 목표와 범위 설정, 일정과 예산 계획 수립, 팀 구성 및 역할 할당"
사용자 요구사항 수집 및 분석 후기,"ProductManager, BusinessOperator",4,시장 조사 및 경쟁 분석 초기
제품 비전과 전략 수립 초기,"BusinessOperator, ProductManager",4,"서비스 수익 분석, 시장 조사 및 경쟁 분석"
제품 비전과 전략 수립 후기,"BusinessOperator, ProductManager",3,"서비스 수익 분석, 시장 조사 및 경쟁 분석"
MVP 정의 초기,Developer,4,제품 비전과 전략 수립
MVP 정의 후기,Developer,3,제품 비전과 전략 수립
비즈니스 요구사항 분석 초기,"ProductManager, BusinessOperator",4,"서비스 수익 분석, 시장 조사 및 경쟁 분석, 제품 비전과 전략 수립"
비즈니스 요구사항 분석 후기,"ProductManager, BusinessOperator",3,"서비스 수익 분석, 시장 조사 및 경쟁 분석, 제품 비전과 전략 수립"
이해관계자 인터뷰 및 요구사항 문서화 초기,"ProjectManager, BusinessOperator",5,비즈니스 요구사항 분석
이해관계자 인터뷰 및 요구사항 문서화 후기,"ProjectManager, BusinessOperator",4,비즈니스 요구사항 분석
비즈니스 프로세스 정의 초기,BusinessOperator,4,비즈니스 요구사항 분석
비즈니스 프로세스 정의 후기,BusinessOperator,3,비즈니스 요구사항 분석
기술 스택 선정 초기,TechLead,2,비즈니스 요구사항 분석
기술 스택 선정 후기,TechLead,4,비즈니스 요구사항 분석
시스템 아키텍처 설계 초기,"Developer, TechLead",2,기술 스택 선정
시스템 아키텍처 설계 후기,"Developer, TechLead",2,기술 스택 선정
UI 개발 초기,Designer,2,비즈니스 프로세스 정의
UI 개발 후기,Designer,2,비즈니스 프로세스 정의
UX 디자인 초기,Designer,2,비즈니스 프로세스 정의
UX 디자인 후기,Designer,2,비즈니스 프로세스 정의
프로토타입 개발 초기,Developer,1,"시스템 아키텍처 설계, UI 개발, UX 디자인"
프로토타입 개발 후기,Developer,2,"시스템 아키텍처 설계, UI 개발, UX 디자인"
반응형 디자인 초기,"Developer, Designer",4,UX 디자인
반응형 디자인 후기,"Developer, Designer",2,UX 디자인
HTML 작성 초기,Developer,3,UI 개발
HTML 작성 후기,Developer,4,UI 개발
CSS 작성 초기,Developer,3,UI 개발
CSS 작성 후기,Developer,3,UI 개발
JavaScript 작성 초기,Developer,2,HTML 작성
JavaScript 작성 후기,Developer,3,HTML 작성
컴포넌트 개발 초기,Developer,2,JavaScript 작성
컴포넌트 개발 후기,Developer,4,JavaScript 작성
상태 관리 초기,Developer,3,컴포넌트 개발
상태 관리 후기,Developer,4,컴포넌트 개발
API 연동 초기,Developer,3,상태 관리
API 연동 후기,Developer,4,상태 관리
라우팅 초기,Developer,3,API 연동
라우팅 후기,Developer,4,API 연동
애니메이션 초기,"Designer, Developer",3,컴포넌트 개발
애니메이션 후기,"Developer, Designer",3,컴포넌트 개발
빌드 도구 설정 초기,Developer,4,시스템 아키텍처 설계
빌드 도구 설정 후기,Developer,3,시스템 아키텍처 설계
모바일 최적화 초기,Developer,4,반응형 디자인
모바일 최적화 후기,Developer,3,반응형 디자인
접근성 개선 초기,Developer,4,모바일 최적화
접근성 개선 후기,Developer,4,모바일 최적화
브라우저 호환성 초기,Developer,5,접근성 개선
브라우저 호환성 후기,Developer,4,접근성 개선
테스트 작성 초기,Developer,4,API 연동
테스트 작성 후기,Developer,4,API 연동
단위 테스트 초기,Developer,4,테스트 작성
단위 테스트 후기,Developer,4,테스트 작성
통합 테스트 초기,Developer,5,단위 테스트
통합 테스트 후기,Developer,4,단위 테스트
버그 수정 초기,Developer,2,테스트 작성
버그 수정 후기,Developer,4,테스트 작성
성능 최적화 초기,Developer,3,단위 테스트
성능 최적화 후기,Developer,4,단위 테스트
코드 리뷰 초기,"Developer, TechLead",3,통합 테스트
코드 리뷰 후기,"Developer, TechLead",4,통합 테스트
지속적인 통합 초기,Developer,3,코드 리뷰
지속적인 통합 후기,Developer,4,코드 리뷰
코드 리팩토링 초기,"Developer, TechLead",3,코드 리뷰
코드 리팩토링 후기,"Developer, TechLead",4,코드 리뷰
모듈 번들링 초기,Developer,3,"코드 리팩토링, 빌드 도구 설정"
